Applying branch and bound with tau=1.000000e+01
************************************************************************************
Explored nodes: 1000000
Leaves: 10000
Node [9702>9703] {1.551320e-01}-{4.598000e+03}-{{0:100}{1:5}{2:100}}
Node [9801>9802] {1.172696e+00}-{5.474000e+03}-{{0:100}{1:4}{2:100}}
Node [9900>9901] {1.118068e-01}-{7.694000e+03}-{{0:100}{1:3}{2:100}}
Node [9999>10000] {2.282862e+00}-{1.083600e+04}-{{0:100}{1:2}{2:100}}
Node [10098>10099] {4.468712e-02}-{1.801100e+04}-{{0:100}{1:1}{2:100}}
Node [10296>10297] {2.661660e-01}-{2.430000e+02}-{{0:99}{1:100}{2:100}}
Node [10395>10396] {2.532166e-01}-{4.740000e+02}-{{0:99}{1:99}{2:100}}
Node [10494>10495] {2.713488e-01}-{3.660000e+02}-{{0:99}{1:98}{2:100}}
Node [10593>10594] {2.531164e-01}-{3.940000e+02}-{{0:99}{1:97}{2:100}}
Node [10692>10693] {2.716215e-01}-{3.700000e+02}-{{0:99}{1:96}{2:100}}
Node [10791>10792] {2.530121e-01}-{3.860000e+02}-{{0:99}{1:95}{2:100}}
Node [10890>10891] {2.719056e-01}-{3.660000e+02}-{{0:99}{1:94}{2:100}}
Node [10989>10990] {2.529033e-01}-{3.820000e+02}-{{0:99}{1:93}{2:100}}
Node [11088>11089] {2.722020e-01}-{3.800000e+02}-{{0:99}{1:92}{2:100}}
Node [11187>11188] {2.527899e-01}-{3.810000e+02}-{{0:99}{1:91}{2:100}}
Node [11286>11287] {2.725115e-01}-{3.950000e+02}-{{0:99}{1:90}{2:100}}
Node [11385>11386] {2.526714e-01}-{3.900000e+02}-{{0:99}{1:89}{2:100}}
Node [11484>11485] {2.728348e-01}-{3.790000e+02}-{{0:99}{1:88}{2:100}}
Node [11583>11584] {2.525476e-01}-{4.010000e+02}-{{0:99}{1:87}{2:100}}
Node [11682>11683] {2.731731e-01}-{3.780000e+02}-{{0:99}{1:86}{2:100}}
Node [11781>11782] {2.524179e-01}-{3.940000e+02}-{{0:99}{1:85}{2:100}}
Node [11880>11881] {2.735274e-01}-{3.670000e+02}-{{0:99}{1:84}{2:100}}
Node [11979>11980] {2.522823e-01}-{4.010000e+02}-{{0:99}{1:83}{2:100}}
Node [12078>12079] {2.738987e-01}-{3.630000e+02}-{{0:99}{1:82}{2:100}}
Node [12177>12178] {2.521399e-01}-{3.890000e+02}-{{0:99}{1:81}{2:100}}
Node [12276>12277] {2.742884e-01}-{3.640000e+02}-{{0:99}{1:80}{2:100}}
Node [12375>12376] {2.519906e-01}-{4.090000e+02}-{{0:99}{1:79}{2:100}}
Node [12474>12475] {2.746979e-01}-{3.720000e+02}-{{0:99}{1:78}{2:100}}
Node [12573>12574] {2.518336e-01}-{4.000000e+02}-{{0:99}{1:77}{2:100}}
Node [12672>12673] {2.751287e-01}-{3.590000e+02}-{{0:99}{1:76}{2:100}}
Node [12771>12772] {2.516683e-01}-{4.100000e+02}-{{0:99}{1:75}{2:100}}
Node [12870>12871] {2.755825e-01}-{3.970000e+02}-{{0:99}{1:74}{2:100}}
Node [12969>12970] {2.514943e-01}-{3.820000e+02}-{{0:99}{1:73}{2:100}}
Node [13068>13069] {2.760612e-01}-{3.740000e+02}-{{0:99}{1:72}{2:100}}
Node [13167>13168] {2.513106e-01}-{3.830000e+02}-{{0:99}{1:71}{2:100}}
Node [13266>13267] {2.765670e-01}-{3.670000e+02}-{{0:99}{1:70}{2:100}}
Node [13365>13366] {2.511165e-01}-{4.100000e+02}-{{0:99}{1:69}{2:100}}
Node [13464>13465] {2.771021e-01}-{3.900000e+02}-{{0:99}{1:68}{2:100}}
Node [13563>13564] {2.509109e-01}-{3.890000e+02}-{{0:99}{1:67}{2:100}}
Node [13662>13663] {2.817397e-01}-{4.630000e+02}-{{0:99}{1:66}{2:100}}
Node [13761>13762] {2.465605e-01}-{4.810000e+02}-{{0:99}{1:65}{2:100}}
Node [13860>13861] {2.824683e-01}-{4.470000e+02}-{{0:99}{1:64}{2:100}}
Node [13959>13960] {2.461985e-01}-{4.830000e+02}-{{0:99}{1:63}{2:100}}
Node [14058>14059] {2.832435e-01}-{4.530000e+02}-{{0:99}{1:62}{2:100}}
Node [14157>14158] {2.458133e-01}-{4.700000e+02}-{{0:99}{1:61}{2:100}}
Node [14256>14257] {2.840697e-01}-{4.730000e+02}-{{0:99}{1:60}{2:100}}
Node [14355>14356] {2.454024e-01}-{4.870000e+02}-{{0:99}{1:59}{2:100}}
Node [14454>14455] {2.849522e-01}-{4.550000e+02}-{{0:99}{1:58}{2:100}}
Node [14553>14554] {2.449632e-01}-{5.040000e+02}-{{0:99}{1:57}{2:100}}
Node [14652>14653] {2.858967e-01}-{4.520000e+02}-{{0:99}{1:56}{2:100}}
Node [14751>14752] {2.444925e-01}-{4.690000e+02}-{{0:99}{1:55}{2:100}}
Node [14850>14851] {2.869104e-01}-{4.490000e+02}-{{0:99}{1:54}{2:100}}
Node [14949>14950] {2.439871e-01}-{4.810000e+02}-{{0:99}{1:53}{2:100}}
Node [15048>15049] {2.880009e-01}-{4.560000e+02}-{{0:99}{1:52}{2:100}}
Node [15147>15148] {2.434428e-01}-{4.820000e+02}-{{0:99}{1:51}{2:100}}
Node [15246>15247] {2.891774e-01}-{4.560000e+02}-{{0:99}{1:50}{2:100}}
Node [15345>15346] {2.478758e-01}-{6.280000e+02}-{{0:99}{1:49}{2:100}}
Node [15444>15445] {2.955750e-01}-{5.910000e+02}-{{0:99}{1:48}{2:100}}
Node [15543>15544] {2.474514e-01}-{6.370000e+02}-{{0:99}{1:47}{2:100}}
Node [15642>15643] {2.971783e-01}-{5.890000e+02}-{{0:99}{1:46}{2:100}}
Node [15741>15742] {2.469904e-01}-{6.150000e+02}-{{0:99}{1:45}{2:100}}
Node [15840>15841] {2.989250e-01}-{5.880000e+02}-{{0:99}{1:44}{2:100}}
Node [15939>15940] {2.464878e-01}-{6.360000e+02}-{{0:99}{1:43}{2:100}}
