Loading object:fap.o
Applying branch and bound with tau=1.000000e-03
************************************************************************************
Explored nodes: 39033
Leaves: 2300
Node [2564>2565] {6.227493e-04}-{{0:42}{1:48}{2:16}}
Node [2580>2581] {6.405115e-04}-{{0:42}{1:47}{2:16}}
Node [2596>2597] {6.406903e-04}-{{0:42}{1:46}{2:16}}
Node [2612>2613] {6.406903e-04}-{{0:42}{1:45}{2:16}}
Node [2628>2629] {6.406903e-04}-{{0:42}{1:44}{2:16}}
Node [2644>2645] {6.406903e-04}-{{0:42}{1:43}{2:16}}
Node [2660>2661] {6.406903e-04}-{{0:42}{1:42}{2:16}}
Node [2676>2677] {6.406903e-04}-{{0:42}{1:41}{2:16}}
Node [2692>2693] {6.406903e-04}-{{0:42}{1:40}{2:16}}
Node [2708>2709] {6.406903e-04}-{{0:42}{1:39}{2:16}}
Node [2724>2725] {6.406903e-04}-{{0:42}{1:38}{2:16}}
Node [2740>2741] {6.406903e-04}-{{0:42}{1:37}{2:16}}
Node [2756>2757] {6.406903e-04}-{{0:42}{1:36}{2:16}}
Node [2772>2773] {6.406903e-04}-{{0:42}{1:35}{2:16}}
Node [2788>2789] {6.406903e-04}-{{0:42}{1:34}{2:16}}
Node [2804>2805] {6.406903e-04}-{{0:42}{1:33}{2:16}}
Node [2820>2821] {6.406903e-04}-{{0:42}{1:32}{2:16}}
Node [2836>2837] {6.406903e-04}-{{0:42}{1:31}{2:16}}
Node [2852>2853] {6.406903e-04}-{{0:42}{1:30}{2:16}}
Node [2868>2869] {6.406903e-04}-{{0:42}{1:29}{2:16}}
Node [2884>2885] {6.406903e-04}-{{0:42}{1:28}{2:16}}
Node [2900>2901] {6.406903e-04}-{{0:42}{1:27}{2:16}}
Node [2916>2917] {6.406903e-04}-{{0:42}{1:26}{2:16}}
Node [2932>2933] {6.406903e-04}-{{0:42}{1:25}{2:16}}
Node [2948>2949] {6.406903e-04}-{{0:42}{1:24}{2:16}}
Node [2964>2965] {6.406903e-04}-{{0:42}{1:23}{2:16}}
Node [2980>2981] {6.406903e-04}-{{0:42}{1:22}{2:16}}
Node [2996>2997] {6.406903e-04}-{{0:42}{1:21}{2:16}}
Node [3012>3013] {6.406903e-04}-{{0:42}{1:20}{2:16}}
Node [3028>3029] {6.406903e-04}-{{0:42}{1:19}{2:16}}
Node [3044>3045] {6.406903e-04}-{{0:42}{1:18}{2:16}}
Node [3060>3061] {6.406903e-04}-{{0:42}{1:17}{2:16}}
Node [3076>3077] {6.406903e-04}-{{0:42}{1:16}{2:16}}
Node [3092>3093] {6.406903e-04}-{{0:42}{1:15}{2:16}}
Node [3108>3109] {6.406903e-04}-{{0:42}{1:14}{2:16}}
Node [3124>3125] {6.406903e-04}-{{0:42}{1:13}{2:16}}
Node [3140>3141] {6.406903e-04}-{{0:42}{1:12}{2:16}}
Node [3156>3157] {6.406903e-04}-{{0:42}{1:11}{2:16}}
Node [3172>3173] {6.406903e-04}-{{0:42}{1:10}{2:16}}
Node [3188>3189] {6.406903e-04}-{{0:42}{1:9}{2:16}}
Node [3204>3205] {6.406903e-04}-{{0:42}{1:8}{2:16}}
